Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Test Cases/Tc_ProAcc_Delete/Activity_Delete,Chrome 88.0.4324.182,,,2021-03-02 23:11:56,2021-03-02 23:13:01,1m - 5.061s,PASSED
runWithCucumberRunner(testRunner.DeleteActivity_Runner),Chrome 88.0.4324.182,,,2021-03-02 23:11:56,2021-03-02 23:13:01,1m - 4.689s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_Delete/PmTask_Delete,Chrome 88.0.4324.182,,,2021-03-02 23:13:01,2021-03-02 23:13:09,7.677s,PASSED
runWithCucumberRunner(testRunner.DeletePmTask_Runner),Chrome 88.0.4324.182,,,2021-03-02 23:13:02,2021-03-02 23:13:09,7.254s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_Delete/Instance_Delete,Chrome 88.0.4324.182,,,2021-03-02 23:13:09,2021-03-02 23:13:18,9.431s,PASSED
runWithCucumberRunner(testRunner.DeleteInstance_Runner),Chrome 88.0.4324.182,,,2021-03-02 23:13:10,2021-03-02 23:13:18,8.267s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_Delete/Project_Delete,Chrome 88.0.4324.182,,,2021-03-02 23:13:18,2021-03-02 23:13:26,7.259s,PASSED
runWithCucumberRunner(testRunner.DeleteProject_Runner),Chrome 88.0.4324.182,,,2021-03-02 23:13:19,2021-03-02 23:13:26,6.950s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_Delete/User_Delete,Chrome 88.0.4324.182,,,2021-03-02 23:13:26,2021-03-02 23:13:48,22.798s,PASSED
runWithCucumberRunner(testRunner.DeleteUser_Runner),Chrome 88.0.4324.182,,,2021-03-02 23:13:26,2021-03-02 23:13:48,22.211s,PASSED
,,,,,,,
Test Cases/Tc_ProAcc_Delete/Customer_Delete,Chrome 88.0.4324.182,,,2021-03-02 23:13:48,2021-03-02 23:13:54,5.986s,PASSED
runWithCucumberRunner(testRunner.DeleteCustomer_Runner),Chrome 88.0.4324.182,,,2021-03-02 23:13:49,2021-03-02 23:13:54,5.415s,PASSED
